item_type,date_extracted,source_file,image_url,creator,date,dig_format,phys_format,language,lc_call,lc_control,link,notes,rights,subject,summary,title
Item,2023-11-22,libraries/libs_metadata/item_metadata-cph.3b41963.json,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963v.jpg#h=823&w=1024,Anonymous,[ca. 1916],still image,Photographic prints--1910-1920.,english,SSF - Libraries--Georgia--Cordele <item> [P&P],91787443,https://www.loc.gov/pictures/item/91787443/,"At bottom right of photo: ""Cordele Book Co.""; Wittemann Collection.",No known restrictions on publication.,"['Libraries--Georgia--Cordele--1910-1920.', 'Georgia--Cordele']","Photo shows a group of children posed on and in front of steps, roof and dome draped with stars and stripes banners. A Carnegie grant for $10,000 in 1903 funded this building, with an  additional $7,556 in 1916 for remodeling. Still used as a public library.","Carnegie Library, Cordele, Georgia"
Item,2023-11-22,libraries/libs_metadata/item_metadata-cph.3b43255.json,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640,"Dwight, Mabel, 1876-1955",[1939],still image,Lithographs--1930-1940.,english,"FP - XX - D9922, no. 12 (A size) [P&P]",89710983,https://www.loc.gov/pictures/item/89710983/,"Signed in pencil.; ""Federal Art Project, NYC WPA.""","No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap","['Reading rooms--1930-1940.', 'Reading--1930-1940.']",Group of people reading in library.,Silence / Mabel Dwight.
Item,2023-11-22,libraries/libs_metadata/item_metadata-cph.3c18157.json,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024,Anonymous,[c1909],still image,Photographic prints--1900-1910.,english,U.S. GEOG FILE - Iowa--Sheldon <item> [P&P],97511671,https://www.loc.gov/pictures/item/97511671/,H125256 U.S. Copyright Office.; No. 1.,Unknown,"['Libraries--Iowa--Sheldon--1900-1910.', 'Iowa--Sheldon']","Exterior of library, with six people on steps.","Carnegie Library, Sheldon, Iowa"
Item,2023-11-22,libraries/libs_metadata/item_metadata-cph.3f05168.json,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708,Federal Art Project,[between 1936 and 1941],still image,Posters--1930-1950.,english,"POS - WPA - ILL .01 .C75, no. 1 (B size) [P&P]",98508385,//www.loc.gov/pictures/item/98508385/,Date stamped on verso: Mar 25 1941.; Work Projects Administration Poster Collection (Library of Congress).,No known restrictions on publication.,"['Chicago Public Library--Public relations--1930-1950.', 'Bookmobiles--Illinois--Chicago--1930-1950.', 'Libraries--Illinois--Chicago--1930-1950.', 'Illinois--Chicago']","Poster for bookmobile service of the Chicago Public Library, showing a traffic light.","Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor."
Item,2023-11-22,libraries/libs_metadata/item_metadata-cph.3f05183.json,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705,Federal Art Project,[between 1936 and 1941],still image,Posters--1930-1950.,english,"POS - WPA - ILL .01 .F665, no. 1 (B size) [P&P]",98508155,https://www.loc.gov/pictures/item/98508155/,Work Projects Administration Poster Collection (Library of Congress).; Date stamped on verso: Jan 24 1941.,No known restrictions on publication.,"['Libraries--Illinois--Chicago--1930-1950.', 'Education--Illinois--Chicago--1930-1950.', 'Illinois--Chicago']","Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries.",For greater knowledge on more subjects use your library more often
Item,2023-11-22,libraries/libs_metadata/item_metadata-det.4a17925.json,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925v.jpg#h=814&w=1024,Detroit Publishing Co.,[1906?],still image,Dry plate negatives.,english,LC-D4-34336 [P&P],2016809661,//www.loc.gov/pictures/item/2016809661/,"Title from jacket.; ""G 3834"" on negative.; Detroit Publishing Co. no. 034336.; Gift; State Historical Society of Colorado; 1949.",No known restrictions on publication.,"['Libraries.', 'United States--Tennessee--Memphis.', 'Tennessee--Memphis']",Not Found,"[Cossitt Library, Memphis, Tenn.]"
Item,2023-11-22,libraries/libs_metadata/item_metadata-det.4a23603.json,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024,Detroit Publishing Co.,c[between 1905 and 1915],still image,Dry plate negatives.,english,LC-D4-71740 [P&P],2016815290,//www.loc.gov/pictures/item/2016815290/,"""G 6758"" on negative.; Detroit Publishing Co. no. 071740.; Gift; State Historical Society of Colorado; 1949.",No known restrictions on publication.,"['Libraries.', 'United States--Arkansas--Little Rock.', 'Arkansas--Little Rock']",Not Found,"Little Rock Public Library, Little Rock, Ark."
Item,2023-11-22,libraries/libs_metadata/item_metadata-ds.06507.json,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06507v.jpg#h=826&w=1024,"Handy, Levin C. (Levin Corbin), 1855-1932.",[ca. 1900],still image,Photographic prints--1890-1910.,english,LOT 6437 [item] [P&P],2014650180,https://www.loc.gov/pictures/item/2014650180/,"Title from item.; Handwritten on recto: ""card 125, 1 plate, total 8.""; Stamped on recto: ""Negative by L.C. Handy.""; Print from copy negative by L.C. Handy.",No known restrictions on publication.,"['Public libraries--New York (State)--Buffalo--1890-1910.', 'Children--New York (State)--Buffalo--1890-1910.', 'Reading--New York (State)--Buffalo--1890-1910.', 'New York (State)--Buffalo']","Photograph shows girls and boys reading in the children's room at the public library in Buffalo, New York.","Buffalo, N.Y. -  Public library - children's room"
Item,2023-11-22,libraries/libs_metadata/item_metadata-ds.06560.json,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560v.jpg#h=727&w=1024,"Gilbert, Cass, 1859-1934",[between 1921 and 1930?],still image,Advertisements--1920-1930.,english,"PCRD14, no. 171 [P&P]",2014647618,https://www.loc.gov/pictures/item/2014647618/,"Title from item.; Includes advertisement for Berry Brothers, varnishes and paint specialties.; Library designed by Cass Gilbert.; (PR 06 CN 037).",No known restrictions on publication.,"['Detroit Public Library--Buildings--1920-1930.', 'Berry Brothers--Public relations--1920-1930.', 'Carnegie libraries--Michigan--Detroit--1920-1930.', 'Public libraries--Michigan--Detroit--1920-1930.', 'Michigan--Detroit']","Photograph shows view of Carnegie library in Detroit, Michigan.",Main public library building - Detroit
Item,2023-11-22,libraries/libs_metadata/item_metadata-fsa.8b14169.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169v.jpg#h=783&w=1024,"Vachon, John, 1914-1975",1938 Nov.,still image,Safety film negatives.,english,LC-USF34- 008833-D [P&P] LOT 412  (corresponding photographic print),2017762724,//www.loc.gov/pictures/item/2017762724/,Title and other information from caption card.; Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.; More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi; Temp. note: usf34batch1,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","['United States--Nebraska--Douglas County--Omaha.', 'Omaha--Nebraska', 'Nebraska--Douglas County--Omaha']",Not Found,"Newspaper reading room of public library. Omaha, Nebraska"
Item,2023-11-22,libraries/libs_metadata/item_metadata-fsa.8b32222.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8b32000/8b32200/8b32222v.jpg#h=1024&w=963,"Lange, Dorothea",1937 July.,still image,Nitrate negatives.,english,LC-USF34- 017786-E [P&P] LOT 1643 (corresponding photographic print),2017770391,//www.loc.gov/pictures/item/2017770391/,"Title and other information from caption card.; Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.; More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi; Temp. note: usf34batch2; Film copy on SIS roll 27, frame 1386.","No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","['United States--Mississippi.', 'Rural housing--Mississippi', 'Mississippi']",Not Found,"Public library in the southwestern section of Mississippi, in the piney woods"
Item,2023-11-22,libraries/libs_metadata/item_metadata-fsa.8c22565.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8c22000/8c22500/8c22565v.jpg#h=787&w=1024,"Lee, Russell, 1903-1986",1941 Sept.,still image,Safety film negatives.,english,LC-USF34- 070341-D [P&P] LOT 335 (corresponding photographic print),2017815837,//www.loc.gov/pictures/item/2017815837/,"Title and other information from caption card.; Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.; More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi; Temp. note: usf34batch8; Film copy on SIS roll 11, frame 1464.","No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","['United States--Oregon--Hood River County--Odell.', 'Oregon--Hood River County--Odell']",Not Found,"Library tent at the FSA (Farm Security Administration) mobile camp for migratory farm workers. Odell, Oregon. The girls working in the library receive credit in the Junior Campers League for work in the library"
Item,2023-11-22,libraries/libs_metadata/item_metadata-fsa.8d24709.json,https://tile.loc.gov/storage-services/service/pnp/fsa/8d24000/8d24700/8d24709v.jpg#h=1024&w=976,"Parks, Gordon, 1912-2006",1943 Jan.,still image,Nitrate negatives.,english,LC-USW3- 014835-E [P&P] LOT 682 (corresponding photographic print),2017843202,//www.loc.gov/pictures/item/2017843202/,"Title and other information from caption card.; Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.; More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi; Temp. note: owibatch3; Film copy on SIS roll 12, frame 598.","No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","['United States--Florida--Volusia County--Daytona Beach.', 'Florida--Volusia County--Daytona Beach']",Not Found,"Daytona Beach, Florida. Bethune-Cookman College. Students in the library reading room"
Item,2023-11-22,libraries/libs_metadata/item_metadata-g3851e.ct006252.json,https://tile.loc.gov/image-services/iiif/service:gmd:gmd385:g3851:g3851e:ct006252/full/pct:25/0/default.jpg#h=1205&w=1684,Anonymous,1926,cartographic,Not Found,english,['G3851.E67 1926 .L5'],Unknown,Not Found,Ms. (india ink and typescript) on photocopy base map.; Shows no. of vols. per library.; Assemblage of several sheets mounted together on cloth backing.; Internal portions excised from base map.; Indexed.; Available also through the Library of Congress Web site as a raster image.; Vault; DCP,Unknown,None,Not Found,"Libraries, Washington D.C."
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.ak0345.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/ak/ak0300/ak0345/photos/033063pv.jpg#h=817&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS AK,8-JUNE,4-",ak0345,https://www.loc.gov/pictures/item/ak0345/,Survey number: HABS AK-113 ,No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'Alaska--Juneau Borough--Juneau']",Not Found,"Juneau Public Library, 292 Marine Way, Juneau, Juneau Borough, AK"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.dc0121.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/dc/dc0100/dc0121/color/376695cv.jpg#h=1024&w=752,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS DC,GEO,118-",dc0121,https://www.loc.gov/pictures/item/dc0121/,"Significance: Healy Building is the most prominent structure on the University campus and a picturesque landmark for all Georgetown.  Its construction marked the evolution of the school toward true University status.  It was designed by the architects Smithmeyer and Pelz, who also designed the Library of Congress.   ; Survey number: HABS DC-248 ; Building/structure dates: 1877 Initial Construction ; National Register of Historic Places NRIS Number: 67000025 ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['educational facilities', 'stone buildings', 'education', 'colleges\n\n', 'District Of Columbia -- District Of Columbia -- Washington']",Not Found,"Georgetown University, Healy Building, Thirty-seventh & O Streets, Northwest, Washington, District of Columbia, DC"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.hi0135.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/hi/hi0100/hi0135/photos/058276pv.jpg#h=733&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS HI,3-KALA,26-",hi0135,https://www.loc.gov/pictures/item/hi0135/,Survey number: HABS HI-101 ; Building/structure dates: 1965 Initial Construction ; National Register of Historic Places NRIS Number: 76002145 ,No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'Hawaii -- Kalawao County -- Kalaupapa']",Not Found,"Mother Marianne Library, Moloka'i Island, Kalaupapa, Kalawao County, HI"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.il0998.sheet.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/il/il0900/il0998/sheet/00001v.jpg#h=678&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,HABS IL-329,il0998,https://www.loc.gov/pictures/item/il0998/,"STORED ON SITE. mchr; 2012 Charles E. Peterson Prize, Entry; Significance: The Paxton Carnegie Library is locally significant under Criterion A and C.  It is significant for educational purposes in its role in providing library services to the citizens of Paxton.  The building is also significant as a local architectural example of the Classic Revival/Beaus Arts style.  In addition, it is an example of a ""Carnegie Library"", meeting the criteria of the Carnegie Library property type.  The period of significance for the building is 1904, when it was built ; Unprocessed Field note material exists for this structure: N1830 ; Survey number: HABS IL-329 ; Building/structure dates: 1904 Initial Construction ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'Classical Revival architectural elements', 'Beaux-Arts architectural elements', 'Illinois -- Ford County -- Paxton']",Not Found,"Paxton Carnegie Library, 254 South Market Street, Paxton, Ford County, IL"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.ks0072.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/ks/ks0000/ks0072/photos/069905pv.jpg#h=815&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS KANS,61-PAOLA,1-",ks0072,https://www.loc.gov/pictures/item/ks0072/,"Significance: The Paola Free Library was designed by George Putnam Washburn, a prominent Kansas architect who designed 13 of Kansas' 105 courthouses.  The corner tower of the library is typical of Washburn's work and was designed late in his career.  The building serves as one of the cultural centers in Paola, and the library serves patrons from the surrounding countryside and villages as well as the citizens of Paola. ; Survey number: HABS KS-52 ; Building/structure dates: 1905-1906 Initial Construction ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'brick buildings', 'reading', 'Kansas -- Miami County -- Paola']",Not Found,"Paola Free Library, 101 East Peoria Street, Paola, Miami County, KS"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.me0057.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/me/me0000/me0057/photos/088141pv.jpg#h=814&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS ME,6-HAL,3-",me0057,https://www.loc.gov/pictures/item/me0057/,"Significance: The Library is a notable example of the Victorian Gothic idiom of the 1870s, more especially since an ecclesiastical form is used for a civic structure. The original (1878-79) building in its exterior form resembled a chapel; the two successive additions (1893-94; 1897-98) continued the analogy by presenting a structure that appears to be a small church with transept and extended chapel (or Lady Chapel). Its fine masonry exterior is complemented by an interior that presents exposed trusswork, contemporary stained glass, and stencil decoration.  ; Survey number: HABS ME-158 ; Building/structure dates:    1878- 1879 Initial Construction ; Building/structure dates:    1893- 1894 Subsequent Work ; Building/structure dates: after. 1900- before. 1920 Subsequent Work ; Building/structure dates: 1897-1898 Subsequent Work ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'stone buildings (granite)', 'Latin cross buildings', 'accidents', 'Maine -- Kennebec County -- Hallowell']",Not Found,"Hubbard Free Library, 115 Second Street, Hallowell, Kennebec County, ME"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.nj0089.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/nj/nj0000/nj0089/photos/107604pv.jpg#h=733&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS NJ,11-PRINT,4D-",nj0089,https://www.loc.gov/pictures/item/nj0089/,Survey number: HABS NJ-791 ,No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['colleges\n\n', 'libraries', 'New Jersey -- Mercer County -- Princeton']",Not Found,"Princeton University, Library, Nassau Street between Witherspoon & Tulane Streets, Princeton, Mercer County, NJ"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.nv0134.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/nv/nv0100/nv0134/photos/043970pv.jpg#h=819&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS NEV,11-HAWT,3H-",nv0134,https://www.loc.gov/pictures/item/nv0134/,Survey number: HABS NV-23-H ; Building/structure dates: 1944 Initial Construction ,No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'wooden buildings', 'reading', 'housing', 'Nevada -- Mineral County -- Hawthorne']",Not Found,"Hawthorne Naval Ammunition Depot, Babbitt Housing Area, Library, U.S. Highway 95, Hawthorne, Mineral County, NV"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.ok0012.sheet.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/ok/ok0000/ok0012/photos/129399pv.jpg#h=833&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS OKLA,42-GUTH,1D-",ok0012,https://www.loc.gov/pictures/item/ok0012/,"Significance: This Second Renaissance Revival structure was the scene of numerous historic events: the inauguration of both the last of the territorial governors and the first Governor of Statehood Oklahoma.  The second Carnegie library in Oklahoma, it grew from the efforts of the organizers of one of the earliest libraries in Oklahoma, to which it is successor.  It is remarkable for the number of ways in which it diverges from Andrew Carnegie's ideas of what a library building should be. ; Unprocessed Field note material exists for this structure: FN-14, FN-15 ; Survey number: HABS OK-14 ; Building/structure dates:    1902- 1903 Initial Construction ; Building/structure dates: after 1948 Subsequent Work ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'brick buildings', 'stone buildings (sandstone)', 'reading', 'philanthropy', 'storage', 'galleries & museums', 'Oklahoma--Logan County--Guthrie']",Not Found,"Carnegie Library, 402 East Oklahoma Avenue, Guthrie, Logan County, OK"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.ri0071.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/ri/ri0000/ri0071/photos/144412pv.jpg#h=732&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS RI,3-NEWP,15-",ri0071,https://www.loc.gov/pictures/item/ri0071/,"Significance: The Redwood Library is a notable specimen of the architectural taste of the early 18th century.  As an important work of the architect Peter Harrison, it is a key building in the introduction of English Georgian architecture in America. ; Unprocessed Field note material exists for this structure: FN-42 ; Survey number: HABS RI-100 ; Building/structure dates: 1749 Initial Construction ; Building/structure dates: 1859 Subsequent Work ; Building/structure dates: 1875 Subsequent Work ; Building/structure dates: 1912 Subsequent Work ; National Register of Historic Places NRIS Number: 66000015 ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'Doric order', 'porticoes (porches)', 'wood structural frames', 'shed roofs', 'sash windows', 'paneled doors', 'Georgian architectural elements', 'Rhode Island--Newport County--Newport']",Not Found,"Redwood Library, 50 Bellevue Avenue, Newport, Newport County, RI"
Item,2023-11-22,libraries/libs_metadata/item_metadata-hhh.sc0767.photos.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/sc/sc0700/sc0767/color/571307cv.jpg#h=745&w=1024,Historic American Buildings Survey,Unknown,Not Found,Not Found,english,"HABS SC,44-UNI,1-",sc0767,https://www.loc.gov/pictures/item/sc0767/,"Significance: The Carnegie Free LIbrary was one of the first of 15 libraries established in towns throughout South Carolina  by iron and steel industrialist and philanthropist Andrew Carnegie. Andrew Carnegie provided communities all over the world with funds to build public library buildings. Other South Carolina towns with Carnegie libraries include Darlington, Kingstree, Beaufort, and Sumter. The Carnegie Free Library in Union is constructed of yellow brick with contrasting red brick and terra cotta trim. The facade has an Ionic portico in antis with a semicircular pediment bearing the name ""Carnegie Free Library."" A low octagonal dome with a finial is centered on the roof. The interior of the building was renovated in 1968, but much original fabric remains. The Carnegie Free Library in Union was listed in the National Register of Historic Places on May 19, 1983, as part of the South Street Historic District. ; Survey number: HABS SC-618 ; Building/structure dates: 1905 Initial Construction ; Building/structure dates: 1968 Subsequent Work ",No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html,"['libraries', 'South Carolina -- Union County -- Union']",Not Found,"Carnegie Free Library, 300 East South Street, Union, Union County, SC"
Item,2023-11-22,libraries/libs_metadata/item_metadata-highsm.04362.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:04300:04362/full/pct:25/0/default.jpg#h=1358&w=1810,"Highsmith, Carol M., 1946-",2007 June 17.,still image,Digital photographs--Color--2000-2010.,english,LC-DIG-highsm- 04362 (ONLINE) [P&P],2010630352,https://www.loc.gov/pictures/item/2010630352/,"The Salt Lake City Public Library system's main branch building is an architecturally unique structure in Salt Lake City, Utah. Located at 210 East 400 South across from the Salt Lake City and County Building and Washington Square, and the grounds around the building is sometimes referred to as Library Square.; Title, date, and subjects provided by the photographer.; Credit line: Carol M. Highsmith's America, Library of Congress, Prints and Photographs Division.; Gift and purchase; Carol M. Highsmith; 2009; (DLC/PP-2010:031).; Forms part of: Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.",No known restrictions on publication.,"['United States--Utah--Salt Lake City.', 'libraries', 'Architecture', 'America', 'Utah--Salt Lake City']",Not Found,"Public Library, Salt Lake City, Utah"
Item,2023-11-22,libraries/libs_metadata/item_metadata-highsm.18384.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18300:18384/full/pct:25/0/default.jpg#h=1940&w=2582,"Highsmith, Carol M., 1946-",2012 September.,still image,Digital photographs--Color--2010-2020.,english,LC-DIG-highsm- 18384 (ONLINE) [P&P],2013646466,https://www.loc.gov/pictures/item/2013646466/,"In 1857 George Peabody, a Massachusetts-born philanthropist, dedicated the Peabody Institute to the citizens of Baltimore in appreciation of their """"kindness and hospitality."""" The Peabody Library building, which opened in 1878, was designed by Baltimore architect Edmund G. Lind in collaboration with the first provost, Dr. Nathaniel H. Morison. Renowned for its striking architectural interior, the Peabody Stack Room contains five tiers of ornamental cast-iron balconies, which rise dramatically to the skylight 61 feet above the floor. The ironwork was fabricated by the Bartlett-Robbins Company.; Title, date, subject note, and keywords based on information provided by the photographer.; Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.; Gift and purchase; Carol M. Highsmith; 2012; (DLC/PP-2012:107).; Forms part of the Carol M. Highsmith Archive.",No known restrictions on publication.,"['United States--Maryland--Baltimore.', 'America.', 'George Peabody Library.', 'Bartlett-Robbins Company.', 'Cast iron.', 'Johns Hopkins Sheridan Libraries.', 'Libraries.', 'Maryland--Baltimore']",Not Found,"George Peabody Library, formerly the Library of the Peabody Institute of the City of Baltimore, is part of the Johns Hopkins Sheridan Libraries. Baltimore, Maryland"
Item,2023-11-22,libraries/libs_metadata/item_metadata-highsm.18402.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18400:18402/full/pct:25/0/default.jpg#h=1024&w=1536,"Highsmith, Carol M., 1946-",2012 September.,still image,Digital photographs--Color--2010-2020.,english,LC-DIG-highsm- 18402 (ONLINE) [P&P],2013646484,https://www.loc.gov/pictures/item/2013646484/,"Located in Gilman Hall and designed by Douglas Thomas. Construction of Gilman Hall began in 1913, and the building was dedicated on May 21, 1915, and named for Daniel Coit Gilman, the first president of the university.  Commonly referred to as ""The HUT,"" the Albert D. Hutzler Reading Room is open on a 24-hour basis during the academic year.; Title, date, subject note, and keywords based on information provided by the photographer.; Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.; Gift and purchase; Carol M. Highsmith; 2012; (DLC/PP-2012:107).; Forms part of the Carol M. Highsmith Archive.",No known restrictions on publication.,"['United States--Maryland--Baltimore.', 'America.', 'Albert D. Hutzler Reading Room.', 'Gilman Hall.', 'Homewood Campus.', 'Johns Hopkins Sheridan Libraries.', 'Libraries.', 'The HUT.', 'Maryland--Baltimore']",Not Found,"Interior of the Hutzler Reading room located in Gilman Hall, on the Johns Hopkins University campus in Baltimore, Maryland"
Item,2023-11-22,libraries/libs_metadata/item_metadata-highsm.20216.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20200:20216/full/pct:25/0/default.jpg#h=772&w=1551,"Highsmith, Carol M., 1946-",2011 October.,still image,Digital photographs--Color--2010-2020.,english,LC-DIG-highsm- 20216 (ONLINE) [P&P],2012631625,https://www.loc.gov/pictures/item/2012631625/,"Title, date, and keywords provided by the photographer.; Credit line: The George F. Landegger Collection of Connecticut Photographs in the Carol M. Highsmith's America, Library of Congress, Prints and Photographs Division.; Gift; George F. Landegger; 2011; (DLC/PP-2011:166).; Forms part of: George F. Landegger Collection of Connecticut Photographs in Carol M. Highsmith's America Project in the Carol M. Highsmith Archive.",No known restrictions on publication.,"['United States--Connecticut--Norfolk.', 'America.', 'The Norfolk Library.', 'Connecticut--Norfolk']",Not Found,"Norfolk Library, Norfolk, Connecticut"
Item,2023-11-22,libraries/libs_metadata/item_metadata-highsm.20336.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20300:20336/full/pct:25/0/default.jpg#h=829&w=1540,"Highsmith, Carol M., 1946-",2011 September.,still image,Digital photographs--Color--2010-2020.,english,LC-DIG-highsm- 20336 (ONLINE) [P&P],2012630017,https://www.loc.gov/pictures/item/2012630017/,"A charming one-room library, it is Montgomery County's oldest, and is now an historic landmark surrounded by old trees and turreted Victorian homes.; Title, date, subject note, and keywords provided by the photographer.; Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.; Purchase; Carol M. Highsmith; 2011; (DLC/PP-2011:182).; Forms part of the Carol M. Highsmith Archive.",No known restrictions on publication.,"['United States--Maryland--Kensington.', 'America.', 'Libraries.', 'Maryland--Kensington']",Not Found,"Noyes Library for Young Children, Kensington, Maryland"
